EmployeeID,Name,Department,Salary,DateOfJoining
1001,Renee Johnson,Operations,70836,2021-09-03
1002,Bryan Vasquez,Sales,62187,2024-03-26
1003,Grace Gibson,Marketing,38567,2018-09-04
1004,Kevin Carter,HR,52551,2022-01-03
1005,Craig Wilson,Operations,68733,2021-09-26
1006,Ashley Glover,IT,72461,2024-02-10
1007,Matthew Orr,Legal,63542,2021-07-31
1008,John Aguilar,IT,93596,2025-07-18
1009,Richard Rosario,Finance,57790,2015-10-02
1010,Casey Wise,Operations,43836,2020-05-31
1011,Rebecca Montoya,Legal,72261,2023-04-06
1012,John Lynch,Legal,73755,2016-05-13
1013,Randy Velez,Legal,87540,2024-08-19
1014,Mary Huynh,Legal,64363,2021-03-04
1015,Rebecca Bowers,Operations,51290,2021-03-26
1016,Jamie Kent,Marketing,39016,2023-12-28
1017,Andre Turner,Operations,41132,2023-08-17
1018,Glenn Miranda DDS,Sales,46549,2025-06-27
1019,Angela Clark,HR,50120,2016-11-22
1020,Eric Johnson,Marketing,61531,2025-06-02
1021,Sara Parker,Finance,87707,2025-03-11
1022,Christina Cruz,Marketing,70619,2017-02-16
1023,Patricia Hawkins,Sales,55244,2023-01-05
1024,Linda Baker,IT,60342,2023-06-22
1025,Mark Dunn MD,HR,57899,2016-03-27
1026,Jessica Rodgers,Marketing,66995,2016-09-28
1027,Christopher Parker,IT,71310,2021-07-15
1028,Samuel Perry,IT,82376,2024-08-20
1029,Jessica Cochran,HR,47629,2021-09-13
1030,Austin Knox,Operations,47585,2016-01-29
1031,Justin Roberts,Operations,52630,2017-03-22
1032,Megan Case,Operations,77318,2022-07-05
1033,Lauren Turner,Legal,77647,2019-11-08
1034,Nathan Jenkins,Sales,55881,2016-02-28
1035,Dylan Alvarado,Legal,93857,2020-03-18
1036,Stacy Lewis,Legal,67821,2017-04-04
1037,Allen Mayo,Legal,77455,2021-01-02
1038,Erin Gallegos,IT,88238,2020-04-10
1039,Olivia Austin,HR,53833,2021-11-23
1040,Mitchell Jackson,Legal,90159,2025-07-16
1041,Donald Larson,Operations,78800,2022-07-30
1042,Michelle Burch,HR,53751,2020-01-25
1043,John Taylor,Legal,87144,2023-10-24
1044,Tracy Cole,HR,44078,2025-02-15
1045,Kevin Brooks,Legal,72751,2019-12-27
1046,Amber Wells,Operations,54263,2023-07-23
1047,Daniel Hardin,Finance,58613,2015-11-22
1048,Cindy Arias,HR,53584,2022-11-29
1049,Andrew Powers,Finance,74278,2023-06-06
1050,Diane Rush,Legal,81585,2016-04-25
1051,Jeffrey Smith,Sales,31745,2023-07-28
1052,Angela Obrien,HR,50405,2019-08-01
1053,Casey Jackson,Finance,71772,2018-12-23
1054,Edgar Newman,Legal,92054,2024-11-23
1055,Amber Myers,Sales,37520,2019-04-11
1056,Alyssa Smith,Sales,65017,2018-06-17
1057,Beverly Costa,IT,85804,2021-03-30
1058,Scott Beck,Legal,73195,2022-12-27
1059,Abigail Shields,Operations,41242,2020-12-03
1060,Troy Hodges,Operations,64348,2021-08-04
